gene,trait
ACE,Type 2 diabetes
BPTF,Type 2 diabetes
LAMA1,Type 2 diabetes
COMMD9,Type 2 diabetes
TCF4,Type 2 diabetes
WDR7,Type 2 diabetes
GRP,Type 2 diabetes
MC4R,Type 2 diabetes
BCL2A,Type 2 diabetes
UHRF1,Type 2 diabetes
PTPRS,Type 2 diabetes
INSR,Type 2 diabetes
MAP2K7,Type 2 diabetes
FARSA,Type 2 diabetes
AP3S2,Type 2 diabetes
PRC1,Type 2 diabetes
ITFG3,Type 2 diabetes
CLUAP1,Type 2 diabetes
ATP2A1,Type 2 diabetes
FAM57B,Type 2 diabetes
FTO,Type 2 diabetes
NFAT5,Type 2 diabetes
BCAR1,Type 2 diabetes
CMIP,Type 2 diabetes
SPG7,Type 2 diabetes
ZZEF1,Type 2 diabetes
GLP2R,Type 2 diabetes
RAI1,Type 2 diabetes
NF1,Type 2 diabetes
HNF1B,Type 2 diabetes
MLX,Type 2 diabetes
CDKN1B,Type 2 diabetes
ITPR2,Type 2 diabetes
KLHDC5,Type 2 diabetes
HMGA2,Type 2 diabetes
TSPAN8,Type 2 diabetes
LGR5,Type 2 diabetes
USP44,Type 2 diabetes
RMST,Type 2 diabetes
WSCD2,Type 2 diabetes
KSR2,Type 2 diabetes
HNF1A,Type 2 diabetes
MPHOSPH9,Type 2 diabetes
FBRSL1,Type 2 diabetes
RNF6,Type 2 diabetes
HMGB1,Type 2 diabetes
KL,Type 2 diabetes
DLEU1,Type 2 diabetes
INS-IGF2,Type 2 diabetes
KCNQ1,Type 2 diabetes
CDKAL1,Type 2 diabetes
IGF2BP2,Type 2 diabetes
SLC30A8,Type 2 diabetes
HHEX,Type 2 diabetes
TCF7L2,Type 2 diabetes
CDKN2A,Type 2 diabetes
CDKN2B,Type 2 diabetes
PPARG,Type 2 diabetes
MARCH1,Type 2 diabetes
PCNXL2,Type 2 diabetes
LPIN2,Type 2 diabetes
HUNK,Type 2 diabetes
KIF11,Type 2 diabetes
PEX5L,Type 2 diabetes
CR2,Type 2 diabetes
C6orf57,Type 2 diabetes
ACHE,Type 2 diabetes
TCERG1L,Type 2 diabetes
ZPLD1,Type 2 diabetes
FLJ16165,Type 2 diabetes
PLS1,Type 2 diabetes
ITGB6,Type 2 diabetes
RBMS1,Type 2 diabetes
LOC64673,Type 2 diabetes
IRS1,Type 2 diabetes
PPP2R2C,Type 2 diabetes
WFS1,Type 2 diabetes
LOC72901,Type 2 diabetes
CETN3,Type 2 diabetes
TMEM163,Type 2 diabetes
MAP3K1,Type 2 diabetes
TGFBR3,Type 2 diabetes
