id,node,node.type,node.label,pln
g0430,AHNAK2,1,GENE,General
g0431,AHR,1,GENE,General
g0432,AHRR,1,GENE,General
g0433,AHSA1,1,GENE,General
g0434,AHSG,1,GENE,General
g0435,AHSP,1,GENE,General
g0436,AICDA,1,GENE,General
g0437,AIDA,1,GENE,General
g0438,AIF1,1,GENE,General
g0439,AIF1L,1,GENE,General
g0440,AIFM2,1,GENE,General
g0441,AIFM3,1,GENE,General
g0442,AIG1,1,GENE,General
g0443,AIM2,1,GENE,General
g0444,AIMP1,1,GENE,General
g0445,AIMP2,1,GENE,General
g0446,AIP,1,GENE,General
g0447,AIPL1,1,GENE,General
g0448,AIRE,1,GENE,General
g0449,AJAP1,1,GENE,General
g0450,AJUBA,1,GENE,General
g0451,AK1,1,GENE,General
g0452,AK2,1,GENE,General
g0453,AK3,1,GENE,General
g0454,AK4,1,GENE,General
g0455,AK5,1,GENE,General
g0456,AK7,1,GENE,General
g0457,AK8,1,GENE,General
g0458,AK9,1,GENE,General
g0459,AKAP1,1,GENE,General
g0460,AKAP10,1,GENE,General
g0461,AKAP11,1,GENE,General
g0462,AKAP12,1,GENE,General
g0463,AKAP13,1,GENE,General
g0464,AKAP2,1,GENE,General
g0465,AKAP3,1,GENE,General
g0466,AKAP5,1,GENE,General
g0467,AKAP6,1,GENE,General
g0468,AKAP7,1,GENE,General
g0469,AKAP8,1,GENE,General
g0470,AKAP8L,1,GENE,General
g0471,AKAP9,1,GENE,General
g0472,AKIP1,1,GENE,General
g0473,AKIRIN1,1,GENE,General
g0474,AKIRIN2,1,GENE,General
g0475,AKNA,1,GENE,General
g0476,AKNAD1,1,GENE,General
g0477,AKR1A1,1,GENE,General
g0478,AKR1B1,1,GENE,General
g0479,AKR1B10,1,GENE,General
g0480,AKR1B15,1,GENE,General
g0481,AKR1C1,1,GENE,General
g0482,AKR1C2,1,GENE,General
g0483,AKR1C3,1,GENE,General
g0484,AKR1C4,1,GENE,General
g0485,AKR1D1,1,GENE,General
g0486,AKR1E2,1,GENE,General
g0487,AKR7A2,1,GENE,General
g0488,AKR7A3,1,GENE,General
g0489,AKT1,1,GENE,General
g0490,AKT1S1,1,GENE,General
g0491,AKT2,1,GENE,General
g0492,AKT3,1,GENE,General
g0493,AKTIP,1,GENE,General
g0494,ALAD,1,GENE,General
g0495,ALAS1,1,GENE,General
g0496,ALB,1,GENE,General
g0497,ALCAM,1,GENE,General
g0498,ALDH16A1,1,GENE,General
g0499,ALDH18A1,1,GENE,General
g0500,ALDH1A1,1,GENE,General
g0501,ALDH1A2,1,GENE,General
g0502,ALDH1A3,1,GENE,General
g0503,ALDH1B1,1,GENE,General
g0504,ALDH1L1,1,GENE,General
g0505,ALDH1L2,1,GENE,General
g0506,ALDH2,1,GENE,General
g0507,ALDH3A1,1,GENE,General
g0508,ALDH3A2,1,GENE,General
g0509,ALDH3B1,1,GENE,General
g0510,ALDH3B2,1,GENE,General
g0511,ALDH4A1,1,GENE,General
g0512,ALDH5A1,1,GENE,General
g0513,ALDH6A1,1,GENE,General
g0514,ALDH7A1,1,GENE,General
g0515,ALDH8A1,1,GENE,General
g0516,ALDH9A1,1,GENE,General
g0517,ALDOA,1,GENE,General
g0518,ALDOB,1,GENE,General
g0519,ALDOC,1,GENE,General
g0520,ALG1,1,GENE,General
g0521,ALG10,1,GENE,General
g0522,ALG10B,1,GENE,General
g0523,ALG11,1,GENE,General
g0524,ALG12,1,GENE,General
g0525,ALG14,1,GENE,General
g0526,ALG2,1,GENE,General
g0527,ALG3,1,GENE,General
g0528,ALG5,1,GENE,General
g0529,ALG6,1,GENE,General
g0530,ALG8,1,GENE,General
g0531,ALG9,1,GENE,General
g0532,ALK,1,GENE,General
g0533,ALKBH1,1,GENE,General
g0534,ALKBH2,1,GENE,General
g0535,ALKBH3,1,GENE,General
g0536,ALKBH4,1,GENE,General
g0537,ALKBH5,1,GENE,General
g0538,ALKBH6,1,GENE,General
g0539,ALKBH7,1,GENE,General
g0540,ALKBH8,1,GENE,General
g0541,ALLC,1,GENE,General
g0542,ALMS1,1,GENE,General
g0543,ALOX12,1,GENE,General
g0544,ALOX12B,1,GENE,General
g0545,ALOX15,1,GENE,General
g0546,ALOX15B,1,GENE,General
g0547,ALOX5,1,GENE,General
g0548,ALOX5AP,1,GENE,General
g0549,ALOXE3,1,GENE,General
g0550,ALPI,1,GENE,General
g0551,ALPK1,1,GENE,General
g0552,ALPK2,1,GENE,General
g0553,ALPK3,1,GENE,General
g0554,ALPL,1,GENE,General
g0555,ALPP,1,GENE,General
g0556,ALS2,1,GENE,General
g0557,ALS2CL,1,GENE,General
g0558,ALX1,1,GENE,General
g0559,ALX3,1,GENE,General
g0560,ALX4,1,GENE,General
g0561,ALYREF,1,GENE,General
g0562,AMACR,1,GENE,General
g0563,AMBN,1,GENE,General
g0564,AMBP,1,GENE,General
g0565,AMBRA1,1,GENE,General
g0566,AMD1,1,GENE,General
g0567,AMDHD1,1,GENE,General
g0568,AMDHD2,1,GENE,General
g0569,AMER2,1,GENE,General
g0570,AMER3,1,GENE,General
g0571,AMFR,1,GENE,General
g0572,AMH,1,GENE,General
g0573,AMHR2,1,GENE,General
g0574,AMIGO1,1,GENE,General
g0575,AMIGO2,1,GENE,General
g0576,AMIGO3,1,GENE,General
g0577,AMMECR1L,1,GENE,General
g0578,AMN,1,GENE,General
g0579,AMN1,1,GENE,General
g0580,AMOTL1,1,GENE,General
g0581,AMOTL2,1,GENE,General
g0582,AMPD1,1,GENE,General
g0583,AMPD2,1,GENE,General
g0584,AMPD3,1,GENE,General
g0585,AMPH,1,GENE,General
g0586,AMT,1,GENE,General
g0587,AMTN,1,GENE,General
g0588,AMY1A,1,GENE,General
g0589,AMY1B,1,GENE,General
g0590,AMY1C,1,GENE,General
g0591,AMY2A,1,GENE,General
g0592,AMY2B,1,GENE,General
g0593,AMZ1,1,GENE,General
g0594,AMZ2,1,GENE,General
g0595,ANAPC1,1,GENE,General
g0596,ANAPC10,1,GENE,General
g0597,ANAPC11,1,GENE,General
g0598,ANAPC13,1,GENE,General
g0599,ANAPC15,1,GENE,General
g0600,ANAPC16,1,GENE,General
g0601,ANAPC2,1,GENE,General
g0602,ANAPC4,1,GENE,General
g0603,ANAPC5,1,GENE,General
g0604,ANAPC7,1,GENE,General
g0605,ANG,1,GENE,General
g0606,ANGEL1,1,GENE,General
g0607,ANGEL2,1,GENE,General
g0608,ANGPT1,1,GENE,General
g0609,ANGPT2,1,GENE,General
g0610,ANGPT4,1,GENE,General
g0611,ANGPTL1,1,GENE,General
g0612,ANGPTL2,1,GENE,General
g0613,ANGPTL3,1,GENE,General
g0614,ANGPTL4,1,GENE,General
g0615,ANGPTL5,1,GENE,General
g0616,ANGPTL6,1,GENE,General
g0617,ANGPTL7,1,GENE,General
g0618,ANHX,1,GENE,General
g0619,ANK1,1,GENE,General
g0620,ANK2,1,GENE,General
g0621,ANK3,1,GENE,General
g0622,ANKAR,1,GENE,General
g0623,ANKDD1A,1,GENE,General
g0624,ANKEF1,1,GENE,General
g0625,ANKFN1,1,GENE,General
g0626,ANKFY1,1,GENE,General
g0627,ANKH,1,GENE,General
g0628,ANKHD1,1,GENE,General
